index,First,Second,Third,Neuron,Batch size,Dropout,Train acc,Test acc
87,TRUE,TRUE,TRUE,128,64,0.5,0.002240989,0.007019174
14,FALSE,FALSE,TRUE,128,32,0.7,0.001863384,0.00746354
7,FALSE,FALSE,FALSE,256,32,0.6,0.001597624,0.00749326
34,FALSE,TRUE,FALSE,256,64,0.6,0.001731429,0.007569731
93,TRUE,TRUE,TRUE,256,64,0.5,0.001868706,0.007573041
70,TRUE,FALSE,TRUE,256,64,0.6,0.001846076,0.007579486
94,TRUE,TRUE,TRUE,256,64,0.6,0.001876407,0.007633689
88,TRUE,TRUE,TRUE,128,64,0.6,0.001915705,0.007684916
66,TRUE,FALSE,TRUE,256,32,0.5,0.001566825,0.007726642
24,FALSE,TRUE,FALSE,128,32,0.5,0.001673534,0.007768094
69,TRUE,FALSE,TRUE,256,64,0.5,0.001777224,0.007785507
72,TRUE,TRUE,FALSE,128,32,0.5,0.001644091,0.007789444
77,TRUE,TRUE,FALSE,128,64,0.7,0.002276886,0.007796698
0,FALSE,FALSE,FALSE,128,32,0.5,0.001621833,0.007808821
44,FALSE,TRUE,TRUE,256,32,0.7,0.001760595,0.007817577
74,TRUE,TRUE,FALSE,128,32,0.7,0.00198302,0.007822107
95,TRUE,TRUE,TRUE,256,64,0.7,0.002367908,0.007845945
18,FALSE,FALSE,TRUE,256,32,0.5,0.00162541,0.007853377
52,TRUE,FALSE,FALSE,128,64,0.6,0.001984926,0.007898176
54,TRUE,FALSE,FALSE,256,32,0.5,0.001653094,0.007929166
2,FALSE,FALSE,FALSE,128,32,0.7,0.002163371,0.007957358
30,FALSE,TRUE,FALSE,256,32,0.5,0.001631884,0.007967774
59,TRUE,FALSE,FALSE,256,64,0.7,0.002016927,0.007980086
48,TRUE,FALSE,FALSE,128,32,0.5,0.001698578,0.007995531
84,TRUE,TRUE,TRUE,128,32,0.5,0.001670035,0.007999818
56,TRUE,FALSE,FALSE,256,32,0.7,0.001765651,0.008011355
6,FALSE,FALSE,FALSE,256,32,0.5,0.001758197,0.008012995
55,TRUE,FALSE,FALSE,256,32,0.6,0.001849743,0.008025532
78,TRUE,TRUE,FALSE,256,32,0.5,0.001690591,0.008026599
12,FALSE,FALSE,TRUE,128,32,0.5,0.001658506,0.0080364
20,FALSE,FALSE,TRUE,256,32,0.7,0.001890931,0.008075753
21,FALSE,FALSE,TRUE,256,64,0.5,0.001739485,0.00808612
82,TRUE,TRUE,FALSE,256,64,0.6,0.001986432,0.008092195
22,FALSE,FALSE,TRUE,256,64,0.6,0.001770183,0.008095671
33,FALSE,TRUE,FALSE,256,64,0.5,0.001800142,0.008133475
58,TRUE,FALSE,FALSE,256,64,0.6,0.001845468,0.008140115
68,TRUE,FALSE,TRUE,256,32,0.7,0.001860477,0.008142915
15,FALSE,FALSE,TRUE,128,64,0.5,0.001825337,0.008218982
51,TRUE,FALSE,FALSE,128,64,0.5,0.001964316,0.008255737
75,TRUE,TRUE,FALSE,128,64,0.5,0.001931377,0.008270957
42,FALSE,TRUE,TRUE,256,32,0.5,0.001780653,0.008272037
89,TRUE,TRUE,TRUE,128,64,0.7,0.002343286,0.008277718
36,FALSE,TRUE,TRUE,128,32,0.5,0.002112938,0.008308948
13,FALSE,FALSE,TRUE,128,32,0.6,0.001925567,0.008336009
40,FALSE,TRUE,TRUE,128,64,0.6,0.002062587,0.008342762
10,FALSE,FALSE,FALSE,256,64,0.6,0.001846772,0.008415741
1,FALSE,FALSE,FALSE,128,32,0.6,0.001994651,0.008429581
45,FALSE,TRUE,TRUE,256,64,0.5,0.002132022,0.008441468
83,TRUE,TRUE,FALSE,256,64,0.7,0.002312555,0.008468024
29,FALSE,TRUE,FALSE,128,64,0.7,0.002269521,0.00847326
49,TRUE,FALSE,FALSE,128,32,0.6,0.001855711,0.008490457
31,FALSE,TRUE,FALSE,256,32,0.6,0.001851824,0.008507366
37,FALSE,TRUE,TRUE,128,32,0.6,0.0018123,0.008518809
3,FALSE,FALSE,FALSE,128,64,0.5,0.001911906,0.008536976
26,FALSE,TRUE,FALSE,128,32,0.7,0.002130133,0.008541699
28,FALSE,TRUE,FALSE,128,64,0.6,0.002113892,0.008546107
27,FALSE,TRUE,FALSE,128,64,0.5,0.001949082,0.00856075
17,FALSE,FALSE,TRUE,128,64,0.7,0.002179038,0.008673375
5,FALSE,FALSE,FALSE,128,64,0.7,0.002223083,0.008737207
86,TRUE,TRUE,TRUE,128,32,0.7,0.002644378,0.008751028
57,TRUE,FALSE,FALSE,256,64,0.5,0.001973221,0.008770601
25,FALSE,TRUE,FALSE,128,32,0.6,0.001952681,0.00879941
32,FALSE,TRUE,FALSE,256,32,0.7,0.002345084,0.008822823
92,TRUE,TRUE,TRUE,256,32,0.7,0.0019586,0.008835177
61,TRUE,FALSE,TRUE,128,32,0.6,0.002105826,0.008853234
19,FALSE,FALSE,TRUE,256,32,0.6,0.002022986,0.008882825
39,FALSE,TRUE,TRUE,128,64,0.5,0.002038094,0.008892115
71,TRUE,FALSE,TRUE,256,64,0.7,0.00224713,0.008917941
47,FALSE,TRUE,TRUE,256,64,0.7,0.002306841,0.008939251
53,TRUE,FALSE,FALSE,128,64,0.7,0.002289248,0.008962452
80,TRUE,TRUE,FALSE,256,32,0.7,0.002555354,0.009023459
73,TRUE,TRUE,FALSE,128,32,0.6,0.002214771,0.009061735
62,TRUE,FALSE,TRUE,128,32,0.7,0.002457737,0.009131527
67,TRUE,FALSE,TRUE,256,32,0.6,0.001964819,0.009208037
11,FALSE,FALSE,FALSE,256,64,0.7,0.002210391,0.009274242
90,TRUE,TRUE,TRUE,256,32,0.5,0.002297519,0.009314277
23,FALSE,FALSE,TRUE,256,64,0.7,0.002278971,0.009413586
63,TRUE,FALSE,TRUE,128,64,0.5,0.00226721,0.009415088
60,TRUE,FALSE,TRUE,128,32,0.5,0.002379995,0.00941579
8,FALSE,FALSE,FALSE,256,32,0.7,0.002215063,0.009436797
50,TRUE,FALSE,FALSE,128,32,0.7,0.002304962,0.009452807
46,FALSE,TRUE,TRUE,256,64,0.6,0.002291906,0.009461849
85,TRUE,TRUE,TRUE,128,32,0.6,0.002219969,0.009464004
81,TRUE,TRUE,FALSE,256,64,0.5,0.002279653,0.009470283
43,FALSE,TRUE,TRUE,256,32,0.6,0.002216889,0.009492953
4,FALSE,FALSE,FALSE,128,64,0.6,0.002321233,0.0095727
76,TRUE,TRUE,FALSE,128,64,0.6,0.002522815,0.00960457
91,TRUE,TRUE,TRUE,256,32,0.6,0.002527913,0.009630706
9,FALSE,FALSE,FALSE,256,64,0.5,0.002289842,0.009683691
35,FALSE,TRUE,FALSE,256,64,0.7,0.00253013,0.00986255
79,TRUE,TRUE,FALSE,256,32,0.6,0.00242907,0.009871406
16,FALSE,FALSE,TRUE,128,64,0.6,0.002645378,0.010191944
64,TRUE,FALSE,TRUE,128,64,0.6,0.003247406,0.010508347
38,FALSE,TRUE,TRUE,128,32,0.7,0.003104702,0.010595266
41,FALSE,TRUE,TRUE,128,64,0.7,0.003198538,0.010911046
65,TRUE,FALSE,TRUE,128,64,0.7,0.003212126,0.011201311